Index,ID,Hand,XPos,YPos,ZPos,Time
0,NULL,Right,-0.3040694,1.104928,-0.3748958,9.890549
0,NULL,Left,-0.5173965,1.071916,-0.5743514,10.346
0,NULL,Right,-0.3139409,1.100235,-0.3811029,10.346
0,NULL,Left,-0.5130828,1.075413,-0.5986258,10.79096
0,NULL,Right,-0.3277403,1.090562,-0.3814037,10.79096
0,NULL,Left,-0.5197896,1.090171,-0.605221,11.2353
0,NULL,Right,-0.3295684,1.091576,-0.3873194,11.2353
0,NULL,Left,-0.5494806,1.11745,-0.5974895,11.68062
0,NULL,Right,-0.3180006,1.090183,-0.3824683,11.68062
0,NULL,Left,-0.5443036,1.09327,-0.6123095,12.13477
0,NULL,Right,-0.321058,1.090481,-0.3829733,12.13477
0,NULL,Left,-0.5535284,1.089486,-0.5962731,12.57834
0,NULL,Right,-0.3169496,1.095667,-0.3717881,12.57834
0,NULL,Left,-0.553876,1.091403,-0.5854994,13.03355
0,NULL,Right,-0.3048415,1.092294,-0.3664273,13.03355
0,NULL,Left,-0.6088255,1.22091,-0.5552657,13.47804
0,NULL,Right,-0.2974792,1.088392,-0.369651,13.47804
0,NULL,Left,-0.7271652,1.398749,-0.5565342,13.93362
0,NULL,Right,-0.2965692,1.09448,-0.3669003,13.93362
0,NULL,Left,-0.7210132,1.356212,-0.4676487,14.38846
0,NULL,Right,-0.2890308,1.097437,-0.3444787,14.38846
0,NULL,Left,-0.6285949,1.169333,-0.4685977,14.83336
0,NULL,Right,-0.2681311,1.136113,-0.3011229,14.83336
0,NULL,Left,-0.6075774,1.120435,-0.5222561,15.27951
0,NULL,Right,-0.2954581,1.151265,-0.3238557,15.27951
0,NULL,Left,-0.6124775,1.11917,-0.5315036,15.7228
0,NULL,Right,-0.3013313,1.146595,-0.3249405,15.7228
0,NULL,Left,-0.5900451,1.127293,-0.6026847,16.16848
0,NULL,Right,-0.3649188,1.153307,-0.3679174,16.16848
0,NULL,Left,-0.4635609,1.151945,-0.7177076,16.6128
0,NULL,Right,-0.4575262,1.165314,-0.4516721,16.6128
0,NULL,Left,-0.2778268,1.169034,-0.6851428,17.05649
0,NULL,Right,-0.4150682,1.176568,-0.4938612,17.05649
0,NULL,Left,-0.228698,1.205531,-0.6544585,17.50563
0,NULL,Right,-0.3887929,1.18896,-0.5125169,17.50563
0,NULL,Left,-0.4370394,1.244984,-0.6234474,17.95879
0,NULL,Right,-0.4897581,1.249807,-0.3746066,17.95879
0,NULL,Left,-0.517319,1.258578,-0.3996907,18.41522
0,NULL,Right,-0.4300231,1.27539,-0.1726447,18.41522
0,NULL,Left,-0.4978698,1.245075,-0.2758076,18.86757
0,NULL,Right,-0.381655,1.26984,-0.1397603,18.86757
0,NULL,Left,-0.4699681,1.24884,-0.2482455,19.3122
0,NULL,Right,-0.3606392,1.268581,-0.1542598,19.3122
0,NULL,Left,-0.4371032,1.252879,-0.2324177,19.75799
0,NULL,Right,-0.3365706,1.267804,-0.1582881,19.75799
0,NULL,Left,-0.4219866,1.252542,-0.2353605,20.20069
0,NULL,Right,-0.3008741,1.264271,-0.1179392,20.20069
0,NULL,Left,-0.4140338,1.252854,-0.2316108,20.64621
0,NULL,Right,-0.3133123,1.265293,-0.1320941,20.64621
0,NULL,Left,-0.4259264,1.251451,-0.2393259,21.09096
0,NULL,Right,-0.3058459,1.268403,-0.1010797,21.09096
0,NULL,Left,-0.4256952,1.246478,-0.2332765,21.53466
0,NULL,Right,-0.3334553,1.264352,-0.126464,21.53466
0,NULL,Left,-0.4247164,1.263926,-0.2696274,22.39324
0,NULL,Right,-0.3353367,1.268989,-0.1706776,22.39324
0,NULL,Left,-0.4541599,1.310969,-0.3173025,22.83746
0,NULL,Right,-0.3816866,1.312225,-0.1898783,22.83746
0,NULL,Left,-0.4502573,1.324464,-0.3584391,23.28321
0,NULL,Right,-0.3846972,1.332657,-0.2288277,23.28321
0,NULL,Left,-0.4423236,1.323223,-0.3716966,23.73846
0,NULL,Right,-0.3691674,1.331618,-0.251962,23.73846
0,NULL,Left,-0.4519044,1.317401,-0.3330392,24.20384
0,NULL,Right,-0.3921181,1.326541,-0.2081503,24.20384
0,NULL,Left,-0.4801874,1.305566,-0.3008045,24.64913
0,NULL,Right,-0.3728819,1.312484,-0.1430312,24.64913
0,NULL,Left,-0.4828338,1.324402,-0.2528577,25.09418
0,NULL,Right,-0.3714545,1.334456,-0.1704985,25.09418
0,NULL,Left,-0.4676761,1.323931,-0.2230503,25.53832
0,NULL,Right,-0.3594773,1.334333,-0.1729723,25.53832
0,NULL,Left,-0.4719552,1.317188,-0.2214999,25.99501
0,NULL,Right,-0.3677675,1.325352,-0.1821476,25.99501
0,NULL,Left,-0.5125138,1.292099,-0.257095,26.43863
0,NULL,Right,-0.4011403,1.325424,-0.1895103,26.43863
0,NULL,Left,-0.514429,1.283123,-0.269869,26.88364
0,NULL,Right,-0.2838273,1.287289,-0.0732969,26.88364
0,NULL,Left,-0.5007231,1.281134,-0.2701541,27.3282
0,NULL,Right,-0.260393,1.275925,-0.07695372,27.3282
0,NULL,Left,-0.496159,1.280086,-0.2730284,27.77246
0,NULL,Right,-0.266314,1.258492,-0.09009774,27.77246
0,NULL,Left,-0.4919608,1.275765,-0.2759005,28.22776
