UserID,Time,XPos,Zpos
1234,0.3820162,2.840534E-07,-4.172325E-07
1234,0.5949379,5.317852E-07,-1.261011E-06
1234,0.8548067,8.484349E-07,-2.481975E-06
1234,1.086203,9.215437E-07,-2.682209E-06
1234,1.342131,9.215437E-07,-2.682209E-06
1234,1.560823,9.215437E-07,-2.682209E-06
1234,1.772223,9.215437E-07,-2.682209E-06
1234,1.994495,9.215437E-07,-2.682209E-06
1234,2.205868,9.215437E-07,-2.682209E-06
1234,2.418458,9.215437E-07,-2.682209E-06
1234,2.630062,9.215437E-07,-2.682209E-06
1234,2.841748,1.850538E-06,-3.152527E-06
1234,3.064067,2.291054E-06,-3.261026E-06
1234,3.286874,2.593733E-06,-3.270339E-06
1234,3.508843,3.073364E-06,-3.47849E-06
1234,3.72071,3.467314E-06,-3.496651E-06
1234,3.943084,3.467314E-06,-3.496651E-06
1234,4.165028,3.467314E-06,-3.496651E-06
1234,4.376105,-0.2335405,-0.1363237
1234,4.587325,-0.2335404,-0.136324
1234,4.799092,-0.503824,-0.1355426
1234,5.020702,-0.5038247,-0.1355429
1234,5.233437,-0.2314405,-0.1308652
1234,5.443754,-0.2314405,-0.1308652
1234,5.655216,-0.2314405,-0.1308652
1234,5.866217,-0.002481756,0.01595532
1234,6.077339,-0.002481489,0.01595522
1234,6.288155,-0.002481489,0.01595522
1234,6.499694,-0.002481489,0.01595522
1234,6.710872,-0.002481489,0.01595522
1234,6.922177,-0.002480762,0.01595488
1234,7.133161,-0.5536171,0.464359
1234,7.343835,-0.553617,0.4643589
1234,7.55563,-0.5536167,0.4643587
1234,7.766719,-0.5536163,0.4643586
1234,7.988683,-0.5536161,0.464358
1234,8.199764,-0.5536154,0.4643577
1234,8.411176,-0.5536144,0.4643572
1234,8.63377,-0.5536137,0.4643569
1234,8.855682,-0.7582244,0.6943224
1234,9.077364,-0.7582242,0.6943223
1234,9.288996,-0.7582239,0.6943216
1234,9.511044,-0.946723,0.9092395
1234,9.722422,-0.9467223,0.9092395
1234,9.944654,-1.141937,1.1207
1234,10.16642,-1.141937,1.120699
1234,10.37792,-1.343655,1.329562
1234,10.59975,-1.343655,1.329562
1234,10.81139,-1.557603,1.543477
1234,11.02213,-1.557604,1.543477
