UserID,ObjectName,InterInit,InterEnd
1235,Saturn,108.0474,108.4693
1235,BaseFloor,108.4693,108.6027
1235,Saturn,108.6027,108.669
1235,BaseFloor,108.669,108.8248
1235,Saturn,108.8248,109.2803
1235,BaseFloor,109.2803,110.7471
1235,Sun,110.7471,110.8687
1235,BaseFloor,110.8687,111.0013
1235,Venus,111.0013,111.0241
1235,Earth&Moon,111.0241,111.0456
1235,BaseFloor,111.0456,111.1782
1235,BaseFloor,113.143,113.2886
1235,Earth&Moon,113.2886,113.3213
1235,BaseFloor,113.3213,113.845
1235,Sun,113.845,114.2012
1235,Jupiter,114.2012,115.2443
1235,BaseFloor,115.2443,115.4682
1235,Mars,115.4682,115.5897
1235,BaseFloor,115.5897,115.7461
1235,Sun,115.7461,116.0223
1235,Jupiter,116.0223,116.3467
1235,[VRTK][AUTOGEN][Controller][NearTouch][CollidersContainer],116.3467,116.7447
1235,Jupiter,116.7447,116.9665
1235,BaseFloor,116.9665,117.355
1235,Jupiter,117.355,117.5879
1235,[VRTK][AUTOGEN][Controller][NearTouch][CollidersContainer],117.5879,117.8874
1235,Jupiter,117.8874,118.8656
1235,BaseFloor,119.1409,119.3008
1235,Uranus,119.6103,120.1238
1235,BaseFloor,120.1238,120.6495
1235,Saturn,120.6495,121.0602
1235,Neptune,121.0602,121.1448
1235,BaseFloor,121.1448,121.2106
1235,Saturn,121.2106,121.5665
1235,BaseFloor,121.5665,121.968
1235,Jupiter,121.968,122.7674
1235,BaseFloor,122.7674,122.8828
1235,Jupiter,122.8828,123.5289
1235,BaseFloor,123.5289,123.6281
1235,Saturn,123.6281,123.8074
1235,Jupiter,123.8074,124.0291
1235,BaseFloor,124.0291,124.7068
1235,Saturn,124.7068,125.2289
1235,BaseFloor,125.2289,125.2848
1235,Jupiter,125.2848,125.6009
1235,BaseFloor,125.6009,126.2215
1235,Earth&Moon,126.2215,126.3075
1235,BaseFloor,126.3075,127.052
1235,Uranus,127.052,127.4182
1235,Sun,127.4182,127.7302
1235,Uranus,127.7302,128.1637
1235,Sun,128.1637,128.242
1235,[VRTK][AUTOGEN][Controller][NearTouch][CollidersContainer],128.242,128.3413
1235,Sun,128.3413,128.5296
1235,[VRTK][AUTOGEN][Controller][NearTouch][CollidersContainer],128.5296,128.6855
1235,Uranus,128.6855,128.9408
1235,BaseFloor,128.9408,129.4091
1235,Uranus,129.4091,130.0297
1235,BaseFloor,130.0297,131.3422
1235,Neptune,131.3422,131.7433
1235,BaseFloor,131.7433,132.6645
1235,Neptune,132.6645,133.6644
1235,Neptune,133.8646,134.343
1235,BaseFloor,134.3872,134.4426
1235,Neptune,134.543,134.8206
1235,BaseFloor,134.8868,135.1853
1235,[VRTK][AUTOGEN][Controller][NearTouch][CollidersContainer],136.4654,137.2428
1235,BaseFloor,137.4651,139.0208
1235,Saturn,139.0208,139.1901
1235,BaseFloor,139.1901,139.8071
1235,Earth&Moon,139.8071,140.2059
1235,BaseFloor,140.2059,140.2262
1235,Sun,140.2262,140.6642
1235,Mars,140.6642,140.9066
1235,BaseFloor,140.9066,142.8853
1235,Sun,142.8853,143.7089
1235,Mars,143.7089,144.9307
1235,Sun,144.9307,145.1854
1235,BaseFloor,145.1854,146.3861
1235,Earth&Moon,146.3861,146.6886
1235,BaseFloor,146.6886,150.3419
1235,BaseFloor,152.8869,153.0008
1235,Jupiter,153.0008,153.2444
1235,Saturn,153.2444,153.4639
1235,Uranus,153.4639,153.8305
1235,Saturn,153.8305,153.9657
1235,BaseFloor,153.9657,154.0412
